model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
SUZUKI SWIFT M-HYBRID 1.2RS CVT                        ,  91500 ,       13450 ,   33999 ,31-Aug-2020       ,     6.4 ,          1 , 19666 ,   9666 ,  693 ,    1242 ,"16"" sport rims, premium leather seats, Pioneer touch screen systems with GPS/CarPlay/Bluetooth/reverse camera, auto retractable side mirrors, dashcam."
MERCEDES BENZ GLA180 PROGRESSIVE                       , 209500 ,       21326 ,   17300 ,06-Feb-2023       ,     8.9 ,          1 , 34483 ,  40277 ,  960 ,    1332 ,"Active brake assist, active parking assist with Parktronic, adaptive brake with hold function, Apple CarPlay Android Auto, electric tailgate,Bluetooth"
MAZDA CX-3 2.0 AT STANDARD 2WD                         ,  88500 ,       14229 ,   34297 ,29-Oct-2019       ,     5.6 ,          1 , 17562 ,  17562 , 1150 ,    1998 ,"Multi-function steering wheel, upgraded Android player With bluetooth, navigation, reverse camera & Android Auto, auto retractable side mirror."
VOLKSWAGEN GOLF R 2.0L 5DR 5K1RX7                      , 105500 ,       16456 ,  138800 ,20-Aug-2010       ,     6.4 ,          8 , 37774 ,  37774 , 1880 ,    1984 ,"Sunroof, Android touch screen audio system, Bluetooth. Rear down seats, custom ice sound system worth few thousand dollar."
MASERATI GHIBLI                                        , 125500 ,       32455 ,   87888 ,19-Jan-2016       ,     1.8 ,          2 , 89201 , 132562 , 2430 ,    2979 ,"Upgraded 20 inch sports rims, Maserati touch control plus with navigation. Android Auto/CarPlay. All round sensors with reverse camera."
KIA FORTE K3 1.6A                                      ,  67500 ,       14185 ,   69888 ,25-Jul-2018       ,     4.3 ,          1 , 11882 ,  11882 ,  953 ,    1591 ,Sport rims. Leather seats. Remote keys. Factory fitted audio player. Reverse sensors. Multi steering function.
HONDA JAZZ 1.5 CVT                                     ,  69500 ,       14792 ,   77888 ,09-May-2018       ,     4.1 ,          2 , 16853 ,  16853 ,  960 ,    1498 ,"Factory fitted head unit, leather seats, multi function steering, cruise control, alloy wheels, remote key."
SEAT ATECA 1.4 TSI 150 XCELLENCE 6AT                   , 108500 ,       17390 ,   62888 ,18-Jul-2019       ,     5.3 ,          1 , 28533 ,  31947 , 1100 ,    1395 ,"Electric seats, electric tailgate, wireless charger, CarPlay/Android Auto, blind spot monitor, adaptive cruise control, 360 camera, collision assist."
HONDA FREED HYBRID 7-SEATER 1.5G AUTO                  , 127500 ,       18200 ,   35888 ,14-Aug-2020       ,     6.4 ,          2 , 28740 ,  22236 , 1010 ,    1496 ,"Sports rims, leather seats, DVD touch screen player, reverse camera and sensors, multi control steering, cruise control, retractable side mirrors."
MERCEDES BENZ CLA180 AMG LINE PREMIUM PLUS AUTO        , 189800 ,       21980 ,   27999 ,29-Sep-2021       ,     7.5 ,          1 , 40713 ,  48999 , 1000 ,    1332 ,"AMG wheels, 10.25"" touchscreen display with carplay and Android Auto, Panoramic roof, electric seats with memory, 64 color ambient lights."
VOLKSWAGEN SCIROCCO 1.4L AT TSI 1372Q5                 ,  72800 ,       11155 ,  130241 ,30-Nov-2010       ,     6.5 ,          5 , 25306 ,  25306 , 1180 ,    1390 ,"2x master key, original radio player, electric seat, 4x sports rim, 2x Brembo brake calipers, carbon fiber side mirror cover and logo."
MERCEDES BENZ E250 CGI A CABRIOLET / COUPE / SEDAN     ,  95999 ,       15748 ,  132000 ,27-Apr-2010       ,     6.1 ,          5 , 60848 ,  60848 , 1500 ,    1796 ,"Factory Fitted Audio With Reverse Sensor, AMG Sports Rims, Red Leather With Electric/memory Seats. Retractable Side Mirrors With Light Indicators."
BMW 320I AT ABS D/AB 2WD 2DR GAS/D SR                  ,  87888 ,       12415 ,  118639 ,21-Apr-2011       ,     7.1 ,          4 , 34991 ,  34991 , 1150 ,    1995 ,"18"" Sports Rim, Black Leather Seats, Sunroof, Retractable Side Mirrors, Electrical Seats, Reverse Sensors."
AUDI Q2 1.0 TFSI S TRONIC                              ,  85800 ,       18680 ,   77300 ,15-Jan-2018       ,     3.8 ,          1 , 26517 ,  29124 ,  850 ,     999 ,"Leather seats. Expensive 19"" Breyton sports rims. Audi MMI. Solar films. Reverse sensors. Ambient lighting. Audi drive select."
CITROEN C4 PICASSO 1.6 BLUEHDI EAT6                    ,  44800 ,       13612 ,   99000 ,06-Mar-2017       ,     2.9 ,          1 , 22996 ,   9195 ,  880 ,    1560 ,"Leather Seats, Sport Rims, Factory Integrated Touch Screen Multimedia Infotainment Systems With Navigation, Bluetooth, Reverse Cam, Folding Mirrors."
