model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
VOLKSWAGEN SCIROCCO 2.0L AT TSI 1379W3                 ,  72800 ,       13148 ,  196000 ,05-Oct-2009       ,     5.5 ,          5 , 30382 ,  25271 , 1470 ,    1984 ,"Multi-function Steering Wheel, Paddle Shifters, Hid Headlights, Driver Electric Seat, Knockdown Rear Seats, Sunroof, Navigation System."
TOYOTA SIENTA HYBRID 1.5X CVT                          , 128800 ,       16627 ,   38540 ,28-Jun-2021       ,     7.3 ,          1 , 27844 ,  15982 ,  730 ,    1496 ,"Comes With Android Player With Rear Screen Player, Front And Rear Sensor, Auto Folding Mirrors, Leather Seats and Sports Rims."
VOLKSWAGEN TIGUAN 1.4 TSI AT BMT 5N22QY                ,  56700 ,       18549 ,   66000 ,23-Jun-2016       ,     2.2 ,          3 , 27038 ,  29854 , 1180 ,    1390 ,"Leather seats, sports rims, audio system, Bluetooth, auto headlights, electric seats, navigation, reverse camera."
TOYOTA COROLLA 1200 2DR COUPE                          ,  49500 ,        6453 ,  200000 ,23-Nov-2021       ,     7.7 ,          2 ,  2113 ,   2113 ,  510 ,    1166 ,Period fitting stereo system installed with new amenities and aircon runs well.
ASTON MARTIN DB11                                      , 489800 ,      108116 ,   32000 ,12-Jan-2017       ,     2.8 ,          1 ,222760 , 372968 , 4475 ,    5204 ,"Agent Upgraded AMR powerpack which has 30 more horsepower & louder exhaust. 20"" 10-spoke directional gloss black diamond turned."
AUDI RS6 AVANT 5.0 FSI QU AT ABS D/AB HID SR           , 154800 ,       28027 ,  135000 ,30-Sep-2009       ,     5.5 ,          5 ,140910 , 140910 , 4260 ,    4991 ,Fully Stock condition with ABT Wheels. Android unit with Apple CarPlay. Stage 1 Tuned.
AUDI S5 4.2 QUATTRO M                                  ,  94800 ,       15960 ,   93000 ,01-Apr-2010       ,     5.9 ,          7 , 57760 ,  57760 , 2600 ,    4163 ,"RS brake kit, 20"" rims, keyless entry/start, electric memory sports seat, bang and Olufsen sound system, Audi drive select, reverse camera, DRL."
HONDA S2000 TYPE-S 2.2 M                               , 183800 ,       38010 ,  194000 ,22-Jan-2009       ,     4.8 ,          7 , 39986 ,  39986 , 1780 ,    2156 ,"Endless brakes. Custom headunit from jvc, defi zd, tc105n, hondata tuned! Megan full under carriage."
BMW X3 XDRIVE30I LED NAV                               , 176800 ,       25661 ,   70301 ,31-Oct-2019       ,     5.6 ,          1 , 52094 ,  65770 , 1850 ,    1998 ,"Advance Car eye (front and rear), contactless opening and closing of boot. Heated side-mirror, USB port x 2, Electric leather seats, ambience light."
MAZDA RX-8 1.3 A                                       ,  58800 ,       18157 ,  197000 ,19-Jun-2007       ,     3.2 ,          6 , 24073 ,  26481 , 1580 ,    1308 ,"As Original As It Can Get, Autoexe air Intake, Stock Exhaust, Fitted With Amemiya AD Body Kit, Rims will be swapped for sale."
MERCEDES BENZ AMG A45 4MATIC (R19 LED)                 , 145800 ,       31834 ,   79000 ,22-Sep-2017       ,     3.5 ,          2 , 53804 ,  68848 , 2800 ,    1991 ,"PPF Exterior, Rims ""19"" Rays ZE40, DBA Rotors All Round. Carbon Interior Trims. Hardrace Strut & Undercarriage Bars, Bilstein Coilovers."
PORSCHE CAYMAN S TIP                                   ,  82000 ,       40611 ,   56000 ,31-Mar-2006       ,     2.0 ,          6 , 88920 ,  97812 , 2170 ,    3387 ,"Porsche sports chrono package, Tiptronic S, BOSE sound system audio."
PORSCHE CAYENNE S                                      , 318800 ,       48836 ,   55000 ,08-Oct-2018       ,     4.5 ,          4 ,123144 , 193660 , 3240 ,    2894 ,Premium Package including Matrix Beam LED with Porsche PDLS plus system. Bose(R) surround sound system. Roof Rack. Techart Kit from KBS.
BMW 2002                                               ,  95888 ,       11757 ,  400000 ,18-May-2022       ,     8.2 ,          1 , 16264 ,  16264 ,  735 ,    1990 ,"FM radio, dual opening side windows, manual shift, factory steering, refurbished seats, new paintwork, factory fitted body kit, 2 door coupe."
JAGUAR XJ 2.0 TSS SWB SR                               , 115000 ,       18077 ,  119000 ,28-Nov-2017       ,     3.7 ,          2 , 69375 ,  96875 , 1770 ,    1999 ,"Twin Sunroof, 19"" sports rims with new tyres, suction doors, Merdian surround audio, electric memory seats w/ comfort access, BT/Navi, dyanamic drives"
HONDA CIVIC 1.5 TURBO VTIS SR                          ,  62800 ,       20318 ,   78000 ,26-Sep-2016       ,     2.5 ,          3 , 26078 ,  23510 , 1270 ,    1498 ,Upgraded to 17 Inch Sports Rims with Falken FK510 Sports Tyres. Everything else is stock.
HONDA FIT 1.3 GF CVT                                   , 122888 ,       13208 ,    2534 ,03-May-2023       ,     9.1 ,          1 , 16399 ,   5000 ,  730 ,    1317 ,"Android player with reverse camera, front and back recording camera, sports rim."
TOYOTA YARIS CROSS HYBRID 1.5X CVT                     , 140800 ,       16087 ,   25000 ,26-Oct-2022       ,     8.6 ,          1 , 19232 ,   5000 ,  850 ,    1490 ,"Smart entry and push start system, EV mode and drive mode, 8"" touch screen display Bluetooth, electric park brake."
TOYOTA SIENTA 1.5 CVT STD                              ,  70800 ,       16882 ,   49000 ,29-Nov-2017       ,     3.7 ,          2 , 17183 ,  17183 ,  790 ,    1496 ,"Auto sliding door. Factory DVD/BT/audio system. Reverse camera. 15"" sports rims, rear aircon, knockdown rear seats, auto headlamps, tinted film, alarm"
MERCEDES BENZ C180 SEDAN AVG (R17 LED)                 , 163800 ,       21190 ,   62509 ,18-Dec-2020       ,     6.7 ,          2 , 35612 ,  41857 , 1150 ,    1497 ,"Auto LED head lights, multi function steering wheel w paddle shifters, Apple CarPlay/Android Auto, keyless entry, multi-zone aircon, electric tailgate."
TOYOTA ALPHARD 2.5 CVT ELEGANCE S/R                    , 146800 ,       31820 ,  103000 ,19-Dec-2017       ,     3.7 ,          1 , 45431 ,  55604 , 1340 ,    2494 ,"18"" sport rims, luxurious leather electric pilot seats, integrated touchscreen infotainment systems with sat navi/BT/CarPlay/rev cam, auto tailgate."
TOYOTA ALPHARD ELEGANCE MR (AUTO)                      , 180800 ,       29918 ,   86700 ,09-Apr-2019       ,     5.0 ,          2 , 48189 ,  59465 , 1340 ,    2494 ,"Digital rear mirror, blind spot monitor, ambient lighting, electric memory seat, dual sliding doors, electric pilot seat, power tailgate."
AUDI TT ROADSTER 2.0 TFSI S TRONIC                     , 239999 ,       26880 ,   25800 ,28-Feb-2022       ,     7.9 ,          1 , 43790 ,  53306 , 1450 ,    1984 ,"Keyless entry/go, virtual cockpit, LED daytime running light, reverse cam, auto hold, wireless charging, auto park assist, CarPlay, navi."
TOYOTA ESTIMA AERAS PREMIUM 2.4 CVT                    , 112800 ,       24654 ,   65000 ,27-Nov-2017       ,     3.7 ,          2 , 37265 ,  44171 , 1250 ,    2362 ,"Dual power sliding doors, Sony head unit, Bluetooth, USB phone charger, front/reverse sensors and camera."
TOYOTA VELLFIRE 8-SEATER 2.5X CVT                      , 210888 ,       32175 ,   35193 ,14-Jan-2020       ,     5.8 ,          1 , 39760 ,  47664 , 1340 ,    2493 ,"Electric Seats, sports rims, audio system, pre-collision system, lane keeping assist, dual power sliding doors."
HONDA VEZEL 1.5X CVT                                   ,  98800 ,       15820 ,   96901 ,27-Dec-2019       ,     5.8 ,          2 , 23661 ,  15126 ,  960 ,    1496 ,"LED headlights, keyless entry/start/stop, knockdown rear seats, reverse sensors and camera and more!"
BMW 216I GRAN TOURER MSPT NAV                          , 136799 ,       17604 ,   42489 ,13-Oct-2020       ,     6.6 ,          2 , 36123 ,  42573 ,  800 ,    1499 ,"Sports rims, electric leather seats, factory fitted audio system with GPS, reverse sensors and cam, rear air con blower, electric tailgate, roof rail."
HYUNDAI ELANTRA AD 1.6 GLS AT (AMS)                    ,  66800 ,       13357 ,   77211 ,25-Oct-2018       ,     4.6 ,          2 , 10937 ,  10937 ,  938 ,    1591 ,"Upholstery leather seats, sports rims, factory fitted audio system, reverse camera and sensors, retractable side mirrors."
BMW 318I EDITION MSPT NAV FOG LIGHT                    , 106988 ,       19106 ,   63990 ,28-Aug-2018       ,     4.4 ,          1 , 37489 ,  44485 , 1000 ,    1499 ,"Full LED Digital Speedo Meter, Headlight And Fog Light, 18"" Sport Rim, Sport Leather Seats Keyless Entry And Start/stop. BMW iDrive System."
SUBARU FORESTER 2.0I-S EYESIGHT AWD CVT SR             , 112988 ,       18537 ,   76900 ,31-Oct-2019       ,     5.6 ,          2 , 18058 ,  18058 , 1150 ,    1995 ,Sunroof. Auto Brake Hold. Steering Responsive Headlights. Electric Parking Brake. 360 Camera View. Electric Memory Seats. Electric Tailgate.
VOLVO XC60 T5                                          ,  34988 ,       19411 ,  118000 ,24-Feb-2015       ,     0.9 ,          3 , 33666 ,  34133 , 1800 ,    1969 ,"Sports Rims, Factory Fitted Audio System, Built In Navigation, Reverse Camera, Keyless Entry, Side Step, Electric Tailgate, Electric Memory Seat."
KIA CERATO 1.6(A) SX                                   ,  82800 ,       14909 ,   76343 ,06-Mar-2019       ,     5.0 ,          1 , 17897 ,  17897 ,  938 ,    1591 ,"Sports rims, leather seats, retriable side mirror/indicator, rear aircon, factory fitted audio, reverse senor/camera, Bluetooth, rear knockdown seat."
TOYOTA YARIS CROSS HYBRID ACTIVE (AT) (2WD)            , 138800 ,       15340 ,   54000 ,31-Oct-2022       ,     8.6 ,          1 , 26006 ,  13409 ,  820 ,    1490 ,"Factory Info/NAV/BT/audio system. Rear camera. Android/ Apple CarPlay. Leather seat, 16"" Sports rim, Knockdown Rear Seat, Blind Spot/ Lane Keep Assist"
TOYOTA HARRIER PREMIUM 2.0 CVT SR                      ,  76800 ,       19500 ,  100098 ,30-Mar-2017       ,     3.0 ,          1 , 34969 ,  35957 , 1110 ,    1986 ,"Sport rims, leather seat, retractable side mirrors/indicator, Pioneer touch screen audio system, rear aircon, driver's electric, Panoramic roof."
VOLKSWAGEN POLO 1.0 TSI CL                             , 118988 ,       13460 ,   26100 ,25-May-2022       ,     8.2 ,          1 , 17815 ,  17815 ,  850 ,     999 ,"Hand gesture control, reverse parking sensors, electrical retractable side mirrors. Knockdown rear seats."
TOYOTA COROLLA ALTIS 1.6L CVT                          ,  45500 ,       19336 ,  117700 ,27-Jan-2016       ,     1.8 ,          2 , 19589 ,  19589 ,  900 ,    1598 ,"Factory audio system with Bluetooth, Keyless entry/start/stop, Reverse camera/sensor, Leather Seats, Electric driver seat etc."
TOYOTA RAV4 HYBRID PREMIUM SUV (AUTO) (2WD)            , 194800 ,       21021 ,   64000 ,01-Nov-2022       ,     8.6 ,          1 , 36050 ,  27470 , 1600 ,    2487 ,"Factory audio/BT/media system. Reverse cam. Leather seats. 18"" sports rims. Front electric seats/rear tailgate, EV/eco/normal/sport mode."
MAZDA 3 SEDAN 1.5 AT EU6                               ,  71800 ,       13801 ,   79112 ,27-Nov-2018       ,     4.7 ,          1 , 14364 ,  14364 ,  880 ,    1496 ,"Reverse sensor, front and rear recording camera. Sport rims."
MERCEDES BENZ B 200 AT ABS AIRBAGS HID 2WD 5DR(CHROME) , 102000 ,       11197 ,  190897 ,02-Aug-2013       ,     9.1 ,          3 , 25714 ,  18000 , 1150 ,    1595 ,"Bluetooth interface, navigation, reverse camera, LED head lights and more."
KIA STONIC 1.0 DCT SR                                  ,  78800 ,       13868 ,   76893 ,02-Aug-2019       ,     5.4 ,          1 , 18886 ,   8886 ,  883 ,     998 ,7 inch factory infotainment system with connectivity options. Keyless entry and start. Rear Knockdown seats. Sunroof. Reverse camera and sensors.
LEXUS IS300H EXECUTIVE 4DR SEDAN (AUTO)                , 120800 ,       21330 ,  119200 ,31-Oct-2018       ,     4.6 ,          1 , 45008 ,  45012 , 1640 ,    2494 ,"Sports Rims, Leather Seats, Keyless Entry/start, 4.2"" Color Tft Multi Information Display with BT/NAVI, Reverse Sensor/Camera, Electric Seats etc."
LOTUS EMIRA V6                                         , 599000 ,       52912 ,     800 ,09-Jun-2023       ,     9.2 ,          1 ,107085 , 222672 , 2980 ,    3456 ,"20"" Sport Rims, driver electric seats with nappa leather, 10.25"" Touch screen with Apple Carplay/Android Auto, KEF Premium Surround Audio."
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      ,  90800 ,       17052 ,   78108 ,26-Feb-2019       ,     4.9 ,          1 , 13321 ,  13321 , 1150 ,    1995 ,"EyeSight driver assist technology, reverse camera, x-mode, blind spot assist, auto start stop engine, adaptive cruise control, high beam assist."
HONDA JAZZ 1.5 CVT                                     ,  76800 ,       15892 ,  108868 ,11-Jul-2018       ,     4.3 ,          1 , 16882 ,  16882 ,  960 ,    1498 ,"Sports rims, leather seats, factory fitted touchscreen audio system, keyless entry/start, knockdown rear seat, retractable side mirror, reverse camera"
HONDA FIT 1.3GF CVT                                    ,  80800 ,       12242 ,   37700 ,24-Jul-2020       ,     6.3 ,          1 , 16449 ,   6449 ,  730 ,    1317 ,"DVD player with reverse camera and sensors, front and rear car camera recorder, leather seats, sports rims."
HONDA CIVIC 1.6 VTI CVT                                ,  58800 ,       18808 ,  131335 ,31-Oct-2016       ,     2.6 ,          2 , 19491 ,  19491 ,  920 ,    1597 ,"Upgraded Sports rims, leather seats, factory fitted carplay system, multi-function steering, reverse camera/sensors, retractable side mirror."
HONDA JAZZ 1.3 CVT                                     ,  86800 ,       13349 ,   41531 ,23-Jun-2020       ,     6.2 ,          2 , 16678 ,   6678 ,  730 ,    1318 ,"Factory fitted 15"" original sparkling sport rims, touch screen infotainment system with bluetooth, leather seats, reverse camera and sensors."
SEAT IBIZA 5DR FR PLUS 1.5 TSI 7AT                     , 133800 ,       14458 ,   13223 ,24-Mar-2023       ,     9.0 ,          1 , 21513 ,   7119 , 1100 ,    1498 ,"17'' Rims, Digital Instrumental Cluster, 8'' Digital Touchscreen Display, Android Auto/ Apple carplay, Reverse Cam & Sensors, Bastuck Exhaust w Cert"
HONDA JAZZ 1.3 CVT                                     ,  73800 ,       14346 ,   80133 ,28-Feb-2019       ,     4.9 ,          3 , 15949 ,   5949 ,  730 ,    1318 ,"15"" Rims, Reverse Camera, Reverse Sensors, Flexible Flip-Up And Knockdown Rear Seats, Electric Retractable Side Mirrors."
MERCEDES BENZ B200 PROGRESSIVE (R18 LED)               , 139800 ,       20360 ,   66000 ,21-Feb-2020       ,     5.9 ,          1 , 33301 ,  38622 , 1200 ,    1332 ,"MBUX infotainment system by voice/touch screen, CarPlay/Android Auto, Bluetooth, parking pilot, reverse camera, active brake assist, memory seats."
MERCEDES BENZ GLB 180 PROGRESSIVE                      , 209800 ,       21729 ,   24000 ,18-Nov-2022       ,     8.7 ,          1 , 36514 ,  43120 ,  960 ,    1332 ,"18'' rims, LED headlights, auto tailgate, 64-colour ambiance lighting, Apple CarPlay/Android Auto, blind spot monitoring system. Side-step."
NISSAN NOTE 1.2 CVT                                    ,  80800 ,       12193 ,   14698 ,24-Aug-2020       ,     6.4 ,          1 , 13641 ,   5000 ,  580 ,    1198 ,"Premium leather interior, sports rim, keyless entry/start/stop, touch screen Pioneer audio with reverse camera, Bluetooth."
HONDA HRV 1.5 LX CVT                                   ,  78800 ,       14906 ,   46349 ,03-Oct-2018       ,     4.5 ,          2 , 21733 ,  22427 ,  960 ,    1496 ,"Sports rims, leather seats, Android audio system, electric handbrake, brake hold, auto start/stop, reverse sensors and camera, roof rail, side step."
NISSAN GT-R 3.8 SMT ABS HID D/AIRBAG 4WD 2DR           , 368888 ,       48468 ,       1 ,09-Nov-2011       ,     7.6 ,          4 ,118937 , 118937 , 3900 ,    3799 ,"Original Nismo Rim, Original Carbon Ceramic Brakes & Akrapovic Exhaust. 1 x Free Spray Paint Of Your Choice!"
MERCEDES BENZ C180 COUPE AMG LINE (R18 LED SR)         ,  88000 ,       27327 ,   80000 ,16-Aug-2016       ,     2.4 ,          2 , 41415 ,  44981 , 1150 ,    1595 ,"Keyless entry, push start/stop. Bluetooth. Electric memory seats. Multi function steering wheel. Front, Rear & Reverse Camera, AMG kit, sunroof."
LAND ROVER DISCOVERY SPORT 2.0 SI4 SE 7STR             ,  88000 ,       20746 ,  108000 ,16-Feb-2017       ,     2.9 ,          2 , 45440 ,  55616 , 1770 ,    1999 ,"Multi function steering control, electric memory leather seats, sports mode."
KIA CERATO 1.6(A) EX                                   ,  71800 ,       14004 ,  101066 ,08-Nov-2018       ,     4.6 ,          1 , 13922 ,  13922 ,  938 ,    1591 ,"Sport rims, side mirror indicator light, reverse sensors and camera."
HYUNDAI ELANTRA AD 1.6 GLS AT (AMS)                    ,  71800 ,       14521 ,   89485 ,27-Sep-2018       ,     4.5 ,          1 , 12477 ,  12477 ,  938 ,    1591 ,"Upholstery leather seats, sports rims, factory fitted audio system, reverse camera and sensors, retractable side mirrors."
HONDA CRV 1.5 TURBO CVT 7SEATER                        , 111800 ,       20365 ,   94467 ,17-Oct-2018       ,     4.6 ,          3 , 32401 ,  37362 , 1420 ,    1498 ,"20"" alloy rims, 7 seaters, multi function steering wheel, audio system with Bluetooth and reverse camera, blind spot camera, electric tailgate."
TOYOTA SIENTA STANDARD (AUTO)                          , 117800 ,       14060 ,   30601 ,22-Dec-2021       ,     7.7 ,          1 , 17648 ,  17648 ,  790 ,    1496 ,"Fabric seats, Multi-function steering wheel, Bluetooth connectivity, Keyless entry and more!"
BMW 335I COUPE SMT HID ABS D/AB 2WD 2DR SR             , 162800 ,       21655 ,  167000 ,27-Sep-2011       ,     7.5 ,          7 , 55569 ,  55569 , 2250 ,    2979 ,"Forged rims, st xa coilover, front ap racing 6 pot, rear ap racing 4 pot, m performance Alcantara steering wheel with sports display."
ROLLS ROYCE PHANTOM EWB MY21 5-SEATER                  ,2680000 ,      301955 ,    5000 ,09-Feb-2021       ,     6.9 ,          2 ,683397 ,1202115 , 4200 ,    6749 ,"Tiffany blue interior, long coach line, immersive seating 3 seat, bespoke interior, rear theatre configuration, lambs wool foot mats."
PORSCHE 911 CARRERA S                                  , 688000 ,       64724 ,    6000 ,26-Sep-2022       ,     8.5 ,          1 ,151697 , 273734 , 3310 ,    2981 ,"Bose surround sound system, electric slide/tilt glass Sunroof, 14-way sport seats with memory package, sports chrono package & sports exhaust."
BENTLEY FLYING SPUR V8 4.0 A/T                         , 320000 ,       84422 ,   79000 ,30-Sep-2015       ,     1.5 ,          4 ,228481 , 383266 , 3730 ,    3993 ,"Built in navigation, Bluetooth, Sunroof, reverse camera, power boot, electric blinds, contrast stitching, Bentley emblems, 21"" ten spoke rims."
MCLAREN 570S COUPE                                     , 555000 ,      110406 ,   21000 ,05-Jan-2018       ,     3.8 ,          6 ,167743 , 273938 , 4190 ,    3799 ,"Sport exhaust, front lifter, soft close, carbon ceramic brakes, carbon fibre interior upgrade, power memory seats, reverse camera, f & r sensors."
HONDA MOBILIO SV 1.5 CVT                               ,  38800 ,       16068 ,  126316 ,11-Jan-2016       ,     1.8 ,          1 , 19666 ,  19666 ,  880 ,    1497 ,"Leather seats, sports rims, Alpine touch screen audio system, reverse sensors/camera, Bluetooth, retractable side mirror, fog light, rear aircon."
FERRARI 296 GTB                                        ,1330000 ,      102316 ,    1000 ,12-Aug-2023       ,     9.4 ,          1 ,362787 , 738132 , 6250 ,    2992 ,"Premium Daytona racing carbon seats in crema, latest infotainment, racing inspired steering, adaptive suspension, carbon ceramic brakes."
FERRARI F8 SPIDER                                      ,1150000 ,      131067 ,   18000 ,01-Oct-2020       ,     6.5 ,          3 ,342950 , 589310 , 5300 ,    3902 ,"Factory racing seats, 7'' touchscreen, Premium 6 speaker audio system, Adaptive Suspension, High Performance Brakes, Retractable Hard Top. Agent Unit."
ROLLS ROYCE WRAITH V12 AUTO                            ,1380000 ,      194254 ,    8000 ,30-Apr-2021       ,     7.1 ,          1 ,333792 , 572826 , 4650 ,    6592 ,"RR Monogram to all headrest, comfort entry system, ventilated seats, front massage seats, coloured steering wheel in consort red."
FERRARI SF90 STRADALE                                  ,1899000 ,      176870 ,    1800 ,12-May-2022       ,     8.1 ,          2 ,525378 , 917681 , 7350 ,    3990 ,"Full-grain leather seats, Carbon Fibre interior accents, High-end audio system, adaptive suspension, advanced driver-assistance systems, front lifter."
ROLLS ROYCE PHANTOM SWB MY21 5-SEATER                  ,2280000 ,      268198 ,    4200 ,18-Jan-2021       ,     6.8 ,          1 ,515159 , 899287 , 4200 ,    6749 ,"RR bespoke audio, 22"" polished forged rims, shooting star headliner, rear massage seats, picnic table, short coachline, comfort entry."
ROLLS ROYCE GHOST V12 AUTO                             ,1338000 ,      115631 ,    7000 ,08-Aug-2022       ,     8.4 ,          2 ,425111 , 737200 , 4200 ,    6592 ,"Two toned white leather interior, 21"" Carbon Alloy Composite Wheels, SOE Embossed on Door, RR Logo Embossed on headrest, 4 doors electronic closing."
PORSCHE 911 GT3 RS RC (992)                            ,1500000 ,      139615 ,    1000 ,22-Jun-2023       ,     9.2 ,          1 ,216611 , 416545 , 3860 ,    3996 ,"Front axle lifter, 20/21"" GT3 RS forge wheels, sports chrono package, matrix headlights, seat belts in green, factory fitted roll cage."
MCLAREN 765LT COUPE                                    ,1780000 ,      202164 ,    4000 ,13-Oct-2021       ,     7.6 ,          1 ,295398 , 503717 , 5630 ,    3994 ,"Ceramic brakes with McLaren orange brake caliper, 360 degree park assist with rear view camera, Alcantara steering wheel with MSO CF extended paddles."
FERRARI SF90 STRADALE                                  ,2280000 ,      233457 ,    3500 ,12-Oct-2021       ,     7.6 ,          1 ,588843 ,1031918 , 7350 ,    3990 ,"Full-grain leather seats, Carbon Fibre interior accents, High-end audio system, adaptive suspension, advanced driver-assistance systems."
FERRARI GTC4 LUSSO T V8                                , 898000 ,      118243 ,   25000 ,25-Oct-2021       ,     7.6 ,          1 ,232738 , 390929 , 4490 ,    3855 ,"Apple Carplay, Daytona Style Seats, Suspension Lifter, Panoramic Roof, 20"" Forged Diamond Wheels, Dual View Front Parking Camera and many more options"
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                , 139800 ,       13980 ,  130000 ,29-Oct-2014       ,     0.6 ,          3 , 32861 ,  28006 , 1150 ,    1595 ,"Factory audio system, media/Bluetooth interface, USB port. Parking assistance, parktronic, reverse camera. Hands-free boot access. Electric tailgate."
AUDI TTC 2.0 TFSI S-TRONIC                             ,  68800 ,       17848 ,   95282 ,30-Jan-2008       ,     3.9 ,          4 , 52020 ,  57222 , 1470 ,    1984 ,Factory Fitted Interior.
AUDI Q5 2.0 TFSI QU (230 BHP)                          ,  66800 ,       20505 ,   92921 ,30-Mar-2016       ,     2.0 ,          3 , 41996 ,  50795 , 1690 ,    1984 ,"Keyless entry/start, electric memory seats/tailgate, reverse sensors, Bluetooth, cruise control, Audi mmi navigation."
MCLAREN 600LT                                          , 745800 ,      115340 ,   22989 ,18-Apr-2019       ,     5.1 ,          4 ,194315 , 321767 , 4410 ,    3799 ,Mclaren Sports Exhaust. 2 Other Exhaust Setups Will Be Given. FI/IPE. 4x New Suspensions Just Changed < 2 Months.
PORSCHE 911 TURBO S 3.8 A                              , 403496 ,       58793 ,   89000 ,14-Apr-2011       ,     6.9 ,          5 ,191059 , 191059 , 3900 ,    3800 ,"Bose Sound System, Sports Chrono, Alcantara Seats. Yellow Brake Calipers."
TOYOTA HARRIER PREMIUM 2.0 CVT                         ,  70800 ,       19289 ,   82305 ,19-Jan-2017       ,     2.8 ,          2 , 32517 ,  32524 , 1110 ,    1986 ,"18"" alloy rims, electrical retractable side mirrors, digital multi zone aircon with rear aircon, driver's electric seat, multi function steering."
LAND ROVER RANGE ROVER SPORT PHEV                      , 290000 ,       44876 ,   51000 ,12-Feb-2019       ,     4.9 ,          2 , 93795 , 140831 , 2970 ,    1997 ,"Soft close, auto tailgate with rear lowering function for easily loading, 21"" wheels, LED headlamps, digital display, 360 camera and more."
HONDA CROSSROAD 1.8 A                                  ,  69634 ,       15022 ,       1 ,10-Nov-2008       ,     4.6 ,          6 , 21419 ,  21419 , 1030 ,    1799 ,-
AUDI S4 3.0 TFSI QU TIP                                , 237477 ,       29982 ,   38000 ,21-Sep-2020       ,     6.5 ,          3 , 62928 ,  85271 , 2600 ,    2995 ,1st owner under management. Latest facelift. Rare vehicle unable to get now in agent. High specs with heads up display available. Over $35k w/receipts.
AUDI R8 GT 5.2 FSI QUATTRO                             , 299000 ,       37286 ,   30500 ,29-Mar-2012       ,     8.0 ,          4 ,259444 , 259444 , 4120 ,    5204 ,"100 kg lighter, GT coilovers, factory front & rear negative camber, carbon engine cover, forged rims, factory carbon wing, lip & air dam, GT cluster."
BMW 535I A                                             , 103000 ,       16417 ,  186000 ,17-Mar-2011       ,     6.3 ,          7 , 61410 ,  61410 , 2250 ,    2979 ,"M5 bodykit, GTS carbon hood, Remus exhaust tips, coilovers, g30 upgraded iDrive and speedo, 20"" M-Sport rims, Hybrid turbo."
LEXUS RC F COUPE                                       , 165000 ,       54358 ,   73000 ,19-Dec-2015       ,     1.7 ,          2 , 93813 , 140864 , 3510 ,    4969 ,"Door Handles With Illuminated Line LED Illumination, Lexus Parking Assist System With Rear View Camera And Navigation."
PORSCHE MACAN GTS                                      , 360000 ,       42662 ,   22000 ,29-Aug-2022       ,     8.4 ,          1 , 34106 ,  39749 , 3240 ,    2894 ,"Panoramic roof, park assist, factory fitted 21'' sports rims, sport chrono package."
LEXUS NX300H LUXURY S/R                                , 119000 ,       76984 ,   95000 ,02-Jun-2015       ,     1.2 ,          1 , 51157 ,  54083 , 1470 ,    2494 ,"LED headlights with DRL, parking sensors with rear camera, Panoramic Sunroof, navigation, Bluetooth, surround camera/sensors, ventilated seats."
JAGUAR XF 2.0P TSS                                     ,  66800 ,       26469 ,  106000 ,31-Jul-2015       ,     1.4 ,          3 , 49966 ,  61953 , 1770 ,    1999 ,"Leather Upholstery, Factory Fitted Touch Screen Infotainment System With Reverse Camera, Bluetooth. Jaguar's Famous Rotary Gear Knob."
MERCEDES BENZ C63 AMG S (R19 LED SR)                   , 170000 ,       61031 ,  102000 ,14-Sep-2015       ,     1.5 ,          4 ,104306 , 159751 , 3750 ,    3982 ,"Keyless entry, start/stop, CF steering, electric memory AMG sport seats, BT Cap infotainment system, AMG sport suspension, AMG 19"" rims."
BMW M3 SEDAN AT ABS D/AIRBAG 2WD LED NAV HUD           , 275000 ,      334951 ,  198000 ,17-Nov-2014       ,     0.6 ,          2 , 78437 , 113187 , 3170 ,    2979 ,"Bilstein B16 Adaptive sus, 20"" Forged HRE rims, AP racing Radical BBK, Gintani crank hub, CSF top mount intercooler and heat exchanger and tons more."
BMW I8 LED HUD NAV                                     , 225000 ,      109627 ,   25000 ,31-Jul-2015       ,     1.4 ,          4 ,117364 , 153256 , 2660 ,    1499 ,"Scissor doors, heads up display, Bluetooth, navigation, Harman Kardon system, electric seats, PDC all round camera/sensors, LED front/rear lights."
PORSCHE 718 CAYMAN GTS (982) PDK E6                    , 328000 ,       60306 ,   66000 ,27-Apr-2018       ,     4.1 ,          7 ,105546 , 161983 , 2690 ,    2497 ,"Factory sports exhaust, 20 inch carrera s rims, GT sports steering wheel, Porsche active suspension, LED headlights with pdls plus. Alcantara lining."
PORSCHE 981 BOXSTER PDK E5 WO SES                      , 237500 ,       24925 ,  101000 ,01-Oct-2013       ,     9.5 ,          3 , 71004 ,  99808 , 1950 ,    2706 ,"Sport rims, reverse sensors, touch screen media info, paddle shifters, LED DRL, sports chrono with sports and sports plus mode, Bluetooth, PASM."
PORSCHE 911 CARRERA AUTO                               , 628888 ,       63908 ,    7000 ,28-Apr-2022       ,     8.1 ,          1 ,139053 , 222296 , 2830 ,    2981 ,"Sports chrono, sports exhaust, Sunroof, super gorgeous 2 tone GT steering wheel, 21"" Spyder RS rims, Bordeaux red interior and more. Enquire for list."
